feature,importance
matched_rider_count,126512222.38444519
corridor_fare_density,104651902.63343215
hour_of_day,53855647.95305443
mean_rider_fare,52005472.67127371
feasible_rider_count,25818122.330139875
route_duration_s,21379563.824354053
corridor_cell_count,20807175.637622118
corridor_demand_density,13763393.843238354
route_distance_m,11968105.52509737
corridor_rider_count,5125760.399789095
day_of_week,664884.8732749224
is_weekend,19692.617232322693
