scenario_name,density_pct,matching_window_min,max_detour_min,batch_seconds,driver_sample_size,policy,total_profit_mean,profit_per_launched_driver_mean,rider_service_rate_mean,mean_wait_min_mean,mean_matched_riders_per_driver_mean,selected_for_paper,selected_heuristic_policy
primary_dispatch_d10_w5_det4,10,5,4,60,1000,coldstart,-7660.0,-7.66,0.006,1.87,0.02,False,heuristic_feasible_count
primary_dispatch_d10_w5_det4,10,5,4,60,1000,heuristic_feasible_count,-7540.0,-7.54,0.011,2.14,0.04,True,heuristic_feasible_count
primary_dispatch_d10_w5_det4,10,5,4,60,1000,oracle,-7250.0,-7.25,0.074,2.05,0.29,False,heuristic_feasible_count
primary_dispatch_d10_w5_det4,10,5,4,60,1000,warmup,-7270.0,-7.27,0.069,2.07,0.27,False,heuristic_feasible_count
