domain,scenario_name,density_pct,matching_window_min,max_detour_min,batch_seconds,driver_sample_size,policy,total_profit_mean,total_profit_ci_low,total_profit_ci_high,profit_per_launched_driver_mean,profit_per_launched_driver_ci_low,profit_per_launched_driver_ci_high,launched_drivers_mean,launched_drivers_ci_low,launched_drivers_ci_high,served_riders_mean,served_riders_ci_low,served_riders_ci_high,rider_service_rate_mean,rider_service_rate_ci_low,rider_service_rate_ci_high,mean_wait_min_mean,mean_wait_min_ci_low,mean_wait_min_ci_high,mean_matched_riders_per_driver_mean,mean_matched_riders_per_driver_ci_low,mean_matched_riders_per_driver_ci_high,seat_occupancy_mean,seat_occupancy_ci_low,seat_occupancy_ci_high,mean_detour_min_mean,mean_detour_min_ci_low,mean_detour_min_ci_high,mean_eval_time_s_mean,mean_eval_time_s_ci_low,mean_eval_time_s_ci_high,mean_batch_runtime_s_mean,mean_batch_runtime_s_ci_low,mean_batch_runtime_s_ci_high,n_seeds,selected_for_paper,selected_heuristic_policy
green,dispatch_density_d100,100,5,4,60,1000,coldstart,-2200.0,-2200.0,-2200.0,-2.2,-2.2,-2.2,1000.0,1000.0,1000.0,860.0,860.0,860.0,0.21,0.21,0.21,1.71,1.71,1.71,0.86,0.86,0.86,0.2866666666666667,0.2866666666666667,0.2866666666666667,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
green,dispatch_density_d100,100,5,4,60,1000,heuristic_feasible_count,-550.0,-550.0,-550.0,-0.55,-0.55,-0.55,1000.0,1000.0,1000.0,1010.0,1010.0,1010.0,0.25,0.25,0.25,1.82,1.82,1.82,1.01,1.01,1.01,0.33666666666666667,0.33666666666666667,0.33666666666666667,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,True,heuristic_feasible_count
green,dispatch_density_d100,100,5,4,60,1000,warmup,-410.0,-410.0,-410.0,-0.41,-0.41,-0.41,1000.0,1000.0,1000.0,970.0,970.0,970.0,0.24,0.24,0.24,1.79,1.79,1.79,0.97,0.97,0.97,0.3233333333333333,0.3233333333333333,0.3233333333333333,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
green,dispatch_density_d100,100,5,4,60,1000,oracle,-200.0,-200.0,-200.0,-0.2,-0.2,-0.2,1000.0,1000.0,1000.0,1060.0,1060.0,1060.0,0.26,0.26,0.26,1.8,1.8,1.8,1.06,1.06,1.06,0.35333333333333333,0.35333333333333333,0.35333333333333333,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
green,dispatch_density_d25,25,5,4,60,1000,coldstart,-6520.0,-6520.0,-6520.0,-6.52,-6.52,-6.52,1000.0,1000.0,1000.0,220.0,220.0,220.0,0.05,0.05,0.05,1.96,1.96,1.96,0.22,0.22,0.22,0.07333333333333333,0.07333333333333333,0.07333333333333333,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
green,dispatch_density_d25,25,5,4,60,1000,heuristic_feasible_count,-5880.0,-5880.0,-5880.0,-5.88,-5.88,-5.88,1000.0,1000.0,1000.0,340.0,340.0,340.0,0.08,0.08,0.08,2.1,2.1,2.1,0.34,0.34,0.34,0.11333333333333334,0.11333333333333334,0.11333333333333334,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,True,heuristic_feasible_count
green,dispatch_density_d25,25,5,4,60,1000,warmup,-5610.0,-5610.0,-5610.0,-5.61,-5.61,-5.61,1000.0,1000.0,1000.0,330.0,330.0,330.0,0.08,0.08,0.08,2.08,2.08,2.08,0.33,0.33,0.33,0.11,0.11,0.11,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
green,dispatch_density_d25,25,5,4,60,1000,oracle,-5420.0,-5420.0,-5420.0,-5.42,-5.42,-5.42,1000.0,1000.0,1000.0,360.0,360.0,360.0,0.09,0.09,0.09,2.06,2.06,2.06,0.36,0.36,0.36,0.12,0.12,0.12,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
green,dispatch_density_d10,10,5,4,60,1000,coldstart,-7660.0,-7660.0,-7660.0,-7.66,-7.66,-7.66,1000.0,1000.0,1000.0,20.0,20.0,20.0,0.006,0.006,0.006,1.87,1.87,1.87,0.02,0.02,0.02,0.006666666666666667,0.006666666666666667,0.006666666666666667,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
green,dispatch_density_d10,10,5,4,60,1000,heuristic_feasible_count,-7540.0,-7540.0,-7540.0,-7.54,-7.54,-7.54,1000.0,1000.0,1000.0,40.0,40.0,40.0,0.011,0.011,0.011,2.14,2.14,2.14,0.04,0.04,0.04,0.013333333333333334,0.013333333333333334,0.013333333333333334,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,True,heuristic_feasible_count
green,dispatch_density_d10,10,5,4,60,1000,warmup,-7270.0,-7270.0,-7270.0,-7.27,-7.27,-7.27,1000.0,1000.0,1000.0,270.0,270.0,270.0,0.069,0.069,0.069,2.07,2.07,2.07,0.27,0.27,0.27,0.09000000000000001,0.09000000000000001,0.09000000000000001,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
green,dispatch_density_d10,10,5,4,60,1000,oracle,-7250.0,-7250.0,-7250.0,-7.25,-7.25,-7.25,1000.0,1000.0,1000.0,290.0,290.0,290.0,0.074,0.074,0.074,2.05,2.05,2.05,0.29,0.29,0.29,0.09666666666666666,0.09666666666666666,0.09666666666666666,4.0,4.0,4.0,0.0173,0.0173,0.0173,0.036899999999999995,0.036899999999999995,0.036899999999999995,5,False,heuristic_feasible_count
